employee_id,name,branch,role
1,Timothy Howell,Giza,Sales
2,Amber Chan,Tanta,Manager
3,Valerie Singh,Alexandria,Cashier
4,Jennifer Nguyen,Cairo,Sales
5,Amanda Williams DVM,Cairo,Supervisor
6,Meghan Jackson,Giza,Supervisor
7,Tabitha Walker,Tanta,Accountant
8,Christopher Barr,Giza,Sales
9,Vicki Gomez,Alexandria,Supervisor
10,Summer Joseph,Alexandria,Sales
11,Mrs. Mary Wallace,Giza,Manager
12,Anne Brown,Tanta,Manager
13,Todd Bowen,Tanta,Accountant
14,Sara Weber,Cairo,Cashier
15,Jennifer Nelson,Mansoura,Sales
16,Shannon Contreras,Giza,Manager
17,John Robinson,Mansoura,Accountant
18,David Larson,Alexandria,Accountant
19,Jessica Thompson,Tanta,Sales
20,Michael Williams,Alexandria,Manager
21,Denise Klein,Giza,Sales
22,Karen Butler,Giza,Cashier
23,Crystal Tate,Alexandria,Supervisor
24,Brittany Wilson,Mansoura,Manager
25,Tyler Martin,Mansoura,Manager
26,Jill Bright,Cairo,Sales
27,Angela Craig,Cairo,Manager
28,David Lee,Mansoura,Sales
29,Melissa Lambert,Tanta,Sales
30,Nancy Bowman,Alexandria,Supervisor
31,Bethany Vasquez,Tanta,Sales
32,Hector Montoya,Mansoura,Accountant
33,Darrell Harris,Mansoura,Manager
34,Wendy Brown,Mansoura,Manager
35,Felicia Porter,Mansoura,Manager
36,Michael Valdez,Cairo,Cashier
37,Anita Vasquez,Mansoura,Sales
38,Carla Shah,Mansoura,Manager
39,Luis Rogers,Tanta,Supervisor
40,Kristin Chapman,Alexandria,Supervisor
41,David Williams,Alexandria,Sales
42,Lee Day,Mansoura,Supervisor
43,Rose Davenport,Cairo,Sales
44,Anthony Sanchez,Tanta,Accountant
45,Lisa Estrada,Giza,Manager
46,Alicia Sullivan,Alexandria,Supervisor
47,Danielle Robinson,Giza,Cashier
48,Courtney Allen,Alexandria,Supervisor
49,Shelly Fry,Giza,Manager
50,Rodney Guerra,Mansoura,Accountant
51,Michael Smith,Tanta,Supervisor
52,Jacob Hamilton,Cairo,Sales
53,Gregory Rivera,Mansoura,Supervisor
54,Miranda Mendez,Tanta,Supervisor
55,Grant Carlson,Mansoura,Sales
56,Elizabeth Woods,Alexandria,Supervisor
57,Scott Tucker,Mansoura,Cashier
58,Edward Edwards,Tanta,Supervisor
59,Stephanie Fleming,Giza,Sales
60,Kathy Lee,Mansoura,Manager
61,Carolyn Shannon,Giza,Manager
62,Karla Gutierrez,Cairo,Cashier
63,Sarah George,Tanta,Manager
64,Rebecca Green,Mansoura,Supervisor
65,Ryan Harris,Giza,Supervisor
66,Cindy Mullen,Tanta,Cashier
67,Andrew Foster,Cairo,Sales
68,Dawn Montes,Cairo,Supervisor
69,Jennifer Hendricks,Alexandria,Sales
70,Amanda Gross,Cairo,Sales
71,Victoria Collins,Cairo,Sales
72,Anna Fox,Tanta,Manager
73,Linda Davis,Cairo,Manager
74,Laura Mcbride,Tanta,Sales
75,Jason Simmons,Giza,Manager
76,Laurie Shelton,Giza,Sales
77,Tammy Carter,Cairo,Cashier
78,Laura Black DDS,Giza,Sales
79,Michele Jones,Giza,Supervisor
80,Jacob Michael,Cairo,Sales
81,Denise Mathis,Tanta,Cashier
82,Linda Buchanan,Cairo,Manager
83,Timothy Perez,Mansoura,Sales
84,Steven Peterson,Cairo,Sales
85,Stacey Hays,Tanta,Supervisor
86,Candace Mueller,Alexandria,Sales
87,Richard Munoz DVM,Mansoura,Sales
88,Angela Zimmerman,Giza,Sales
89,Dominique Leonard,Giza,Manager
90,Michelle Daniel,Tanta,Accountant
91,Joe Mcdaniel,Mansoura,Cashier
92,Christine Shepherd,Tanta,Manager
93,Gregory David,Mansoura,Manager
94,Amy Weaver,Cairo,Accountant
95,Mrs. Veronica Riley,Mansoura,Cashier
96,Adam Garcia,Mansoura,Supervisor
97,Shawn Schmitt,Giza,Cashier
98,Julia Powell,Cairo,Supervisor
99,Douglas Kent,Cairo,Sales
100,Denise Stevens,Alexandria,Supervisor
